Product,URL,Angle,Bundle Diameter Max.,Bundle Diameter Min.,Length,Material,Mounting Hole Diameter
"Ratchet P-Clamp, 0.52 - 0.77"" Bundle Dia, 90° Long, 0.51"" Hole Dia, PA66HIRHSUV/SS304, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01974/,90 °,19.5 mm,12.7 mm,129.9 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Stainless Steel (SS304)",12.95 mm
"Ratchet P-Clamp, 0.52 - 0.77"" Bundle Dia, 90° Long, 0.26"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01652/,90 °,19.5 mm,12.7 mm,129.9 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",6.5 mm
"Ratchet P-Clamp, 0.52 - 0.77"" Bundle Dia, 90° Long, 0.26"" Hole Dia, PA66HIRHSUV/SS304, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01971/,90 °,19.5 mm,12.7 mm,129.9 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Stainless Steel (SS304)",6.5 mm
"Ratchet P-Clamp, 0.52 - 0.77"" Bundle Dia, 90° Long, 0.33"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01460/,90 °,19.5 mm,12.7 mm,129.9 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",8.31 mm
"Ratchet P-Clamp, 0.52 - 0.77"" Bundle Dia, 90° Long, 0.33"" Hole Dia, PA66HIRHSUV/SS304, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01972/,90 °,19.5 mm,12.7 mm,129.9 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Stainless Steel (SS304)",8.31 mm
"Ratchet P-Clamp, 0.52 - 0.77"" Bundle Dia, 90° Short, 0.41"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 280/ctn",https://www.hellermanntyton.us/products/151-01458/,90 °,19.5 mm,12.7 mm,101.9 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",10.29 mm
"Ratchet P-Clamp, 0.52 - 0.77"" Bundle Dia, 90° Short, 0.41"" Hole Dia, PA666V0/SS304, Black, 280/ctn",https://www.hellermanntyton.us/products/151-03006/,90 °,19.5 mm,12.7 mm,101.9 mm,"Polyamide 6.6/6, V0 (PA666V0);Stainless Steel (SS304)",10.4 mm
"Ratchet P-Clamp, 0.52 - 0.77"" Bundle Dia, 90° Short, 0.41"" Hole Dia, PA66HIRHSUV/SS304, Black, 280/ctn",https://www.hellermanntyton.us/products/151-01969/,90 °,19.5 mm,12.7 mm,101.9 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Stainless Steel (SS304)",10.29 mm
"Ratchet P-Clamp, 0.52 - 0.77"" Bundle Dia, 90° Short, 0.51"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 280/ctn",https://www.hellermanntyton.us/products/151-01459/,90 °,19.5 mm,12.7 mm,101.9 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",12.95 mm
"Ratchet P-Clamp, 0.52 - 0.77"" Bundle Dia, 90° Short, 0.51"" Hole Dia, PA66HIRHSUV/SS304, Black, 280/ctn",https://www.hellermanntyton.us/products/151-01970/,90 °,19.5 mm,12.7 mm,101.9 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Stainless Steel (SS304)",12.95 mm
"Ratchet P-Clamp, 0.52 - 0.77"" Bundle Dia, 90° Short, 0.26"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 280/ctn",https://www.hellermanntyton.us/products/151-01651/,90 °,19.5 mm,12.7 mm,101.9 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",6.5 mm
"Ratchet P-Clamp, 0.52 - 0.77"" Bundle Dia, 90° Short, 0.26"" Hole Dia, PA66HIRHSUV/SS304, Black, 280/ctn",https://www.hellermanntyton.us/products/151-01967/,90 °,19.5 mm,12.7 mm,101.9 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Stainless Steel (SS304)",6.5 mm
"Ratchet P-Clamp, 0.52 - 0.77"" Bundle Dia, 90° Short, 0.33"" Hole Dia, PA66HIRHSUV/SS304, Black, 280/ctn",https://www.hellermanntyton.us/products/151-01968/,90 °,19.5 mm,12.7 mm,101.9 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Stainless Steel (SS304)",8.31 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 15° Short, 0.41"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 300/ctn",https://www.hellermanntyton.us/products/151-01426/,15 °,13.7 mm,6.2 mm,115.6 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",10.29 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 15° Short, 0.41"" Hole Dia, PA66HIRHSUV/SS304, Black, 300/ctn",https://www.hellermanntyton.us/products/151-01925/,15 °,13.7 mm,6.2 mm,115.6 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Stainless Steel (SS304)",10.29 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 15° Short, 0.51"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 300/ctn",https://www.hellermanntyton.us/products/151-01427/,15 °,13.7 mm,6.2 mm,115.6 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",12.95 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 15° Short, 0.51"" Hole Dia, PA66HIRHSUV/SS304, Black, 300/ctn",https://www.hellermanntyton.us/products/151-01926/,15 °,13.7 mm,6.2 mm,115.6 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Stainless Steel (SS304)",12.95 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 15° Short, 0.26"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 300/ctn",https://www.hellermanntyton.us/products/151-01640/,15 °,13.7 mm,6.2 mm,115.6 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",6.5 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 15° Short, 0.26"" Hole Dia, PA66HIRHSUV/SS304, Black, 300/ctn",https://www.hellermanntyton.us/products/151-01923/,15 °,13.7 mm,6.2 mm,115.6 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Stainless Steel (SS304)",6.5 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 15° Short, 0.33"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 300/ctn",https://www.hellermanntyton.us/products/151-01425/,15 °,13.7 mm,6.2 mm,115.6 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",8.31 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 15° Short, 0.33"" Hole Dia, PA66HIRHSUV/SS304, Black, 300/ctn",https://www.hellermanntyton.us/products/151-01924/,15 °,13.7 mm,6.2 mm,115.6 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Stainless Steel (SS304)",8.31 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 180° Long, 0.41"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01423/,180 °,13.7 mm,6.2 mm,167.2 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",10.29 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 180° Long, 0.41"" Hole Dia, PA66HIRHSUV/SS304, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01921/,180 °,13.7 mm,6.2 mm,167.2 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Stainless Steel (SS304)",10.29 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 180° Long, 0.51"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01424/,180 °,13.7 mm,6.2 mm,167.2 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",12.95 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 180° Long, 0.51"" Hole Dia, PA66HIRHSUV/SS304, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01922/,180 °,13.7 mm,6.2 mm,167.2 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Stainless Steel (SS304)",12.95 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 180° Long, 0.26"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01639/,180 °,13.7 mm,6.2 mm,167.2 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",6.5 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 180° Long, 0.26"" Hole Dia, PA66HIRHSUV/SS304, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01919/,180 °,13.7 mm,6.2 mm,167.2 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Stainless Steel (SS304)",6.5 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 180° Long, 0.33"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01422/,180 °,13.7 mm,6.2 mm,167.2 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",8.31 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 180° Long, 0.33"" Hole Dia, PA66HIRHSUV/SS304, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01920/,180 °,13.7 mm,6.2 mm,167.2 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Stainless Steel (SS304)",8.31 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 180° Medium, 0.41"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01420/,180 °,13.7 mm,6.2 mm,138.2 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",10.29 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 180° Medium, 0.41"" Hole Dia, PA66HIRHSUV/SS304, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01917/,180 °,13.7 mm,6.2 mm,138.2 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Stainless Steel (SS304)",10.29 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 180° Medium, 0.51"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01421/,180 °,13.7 mm,6.2 mm,138.2 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",12.95 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 180° Medium, 0.51"" Hole Dia, PA66HIRHSUV/SS304, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01918/,180 °,13.7 mm,6.2 mm,138.2 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Stainless Steel (SS304)",12.95 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 180° Medium, 0.26"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01638/,180 °,13.7 mm,6.2 mm,138.2 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",6.5 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 180° Medium, 0.26"" Hole Dia, PA66HIRHSUV/SS304, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01915/,180 °,13.7 mm,6.2 mm,138.2 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Stainless Steel (SS304)",6.5 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 180° Medium, 0.33"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01419/,180 °,13.7 mm,6.2 mm,138.2 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",8.31 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 180° Medium, 0.33"" Hole Dia, PA66HIRHSUV/SS304, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01916/,180 °,13.7 mm,6.2 mm,138.2 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Stainless Steel (SS304)",8.31 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 180° Short, 0.41"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 300/ctn",https://www.hellermanntyton.us/products/151-01417/,180 °,13.7 mm,6.2 mm,116.2 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",10.29 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 180° Short, 0.41"" Hole Dia, PA66HIRHSUV/SS304, Black, 300/ctn",https://www.hellermanntyton.us/products/151-01913/,180 °,13.7 mm,6.2 mm,116.2 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Stainless Steel (SS304)",10.29 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 180° Short, 0.51"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 300/ctn",https://www.hellermanntyton.us/products/151-01418/,180 °,13.7 mm,6.2 mm,116.2 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",12.95 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 180° Short, 0.51"" Hole Dia, PA66HIRHSUV/SS304, Black, 300/ctn",https://www.hellermanntyton.us/products/151-01914/,180 °,13.7 mm,6.2 mm,116.2 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Stainless Steel (SS304)",12.95 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 180° Short, 0.26"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 300/ctn",https://www.hellermanntyton.us/products/151-01637/,180 °,13.7 mm,6.2 mm,116.2 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",6.5 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 180° Short, 0.26"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 5/bg",https://www.hellermanntyton.us/products/151-01670/,180 °,13.7 mm,6.2 mm,116.2 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",6.5 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 180° Short, 0.26"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 30/bg",https://www.hellermanntyton.us/products/151-03035/,180 °,13.7 mm,6.2 mm,116.2 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",6.5 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 180° Short, 0.26"" Hole Dia, PA66HIRHSUV/SS304, Black, 300/ctn",https://www.hellermanntyton.us/products/151-01911/,180 °,13.7 mm,6.2 mm,116.2 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Stainless Steel (SS304)",6.5 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 180° Short, 0.33"" Hole Dia, PA666V0/ST/ZN, Black, 300/ctn",https://www.hellermanntyton.us/products/151-03012/,180 °,13.7 mm,6.2 mm,116.2 mm,"Polyamide 6.6/6, V0 (PA666V0);Steel (ST);Zinc plated (ZN)",8.4 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 180° Short, 0.33"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 300/ctn",https://www.hellermanntyton.us/products/151-01416/,180 °,13.7 mm,6.2 mm,116.2 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",8.31 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 180° Short, 0.33"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 30/bg",https://www.hellermanntyton.us/products/151-03036/,180 °,13.7 mm,6.2 mm,116.2 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",8.31 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 180° Short, 0.33"" Hole Dia, PA66HIRHSUV/SS304, Black, 300/ctn",https://www.hellermanntyton.us/products/151-01912/,180 °,13.7 mm,6.2 mm,116.2 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Stainless Steel (SS304)",8.31 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 30° Long, 0.41"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01432/,30 °,13.7 mm,6.2 mm,150.5 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",10.29 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 30° Long, 0.41"" Hole Dia, PA66HIRHSUV/SS304, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01933/,30 °,13.7 mm,6.2 mm,150.5 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Stainless Steel (SS304)",10.29 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 30° Long, 0.51"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01433/,30 °,13.7 mm,6.2 mm,150.5 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",12.95 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 30° Long, 0.51"" Hole Dia, PA66HIRHSUV/SS304, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01934/,30 °,13.7 mm,6.2 mm,150.5 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Stainless Steel (SS304)",12.95 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 30° Long, 0.26"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01642/,30 °,13.7 mm,6.2 mm,150.5 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",6.5 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 30° Long, 0.33"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01431/,30 °,13.7 mm,6.2 mm,150.5 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",8.31 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 30° Long, 0.33"" Hole Dia, PA66HIRHSUV/SS304, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01932/,30 °,13.7 mm,6.2 mm,150.5 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Stainless Steel (SS304)",8.31 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 30° Long, 0.26"" Hole Dia, PA66HIRHSUV/SS304, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01931/,30 °,13.7 mm,6.2 mm,150.5 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Stainless Steel (SS304)",6.5 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 30° Short, 0.41"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 300/ctn",https://www.hellermanntyton.us/products/151-01429/,30 °,13.7 mm,6.2 mm,113.5 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",10.29 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 30° Short, 0.41"" Hole Dia, PA66HIRHSUV/SS304, Black, 300/ctn",https://www.hellermanntyton.us/products/151-01929/,30 °,13.7 mm,6.2 mm,113.5 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Stainless Steel (SS304)",10.29 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 30° Short, 0.51"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 300/ctn",https://www.hellermanntyton.us/products/151-01430/,30 °,13.7 mm,6.2 mm,113.5 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",12.95 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 30° Short, 0.51"" Hole Dia, PA66HIRHSUV/SS304, Black, 300/ctn",https://www.hellermanntyton.us/products/151-01930/,30 °,13.7 mm,6.2 mm,113.5 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Stainless Steel (SS304)",12.95 mm
"Ratchet P-Clamp, 0.24 - 0.54"" Bundle Dia, 30° Short, 0.26"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 300/ctn",https://www.hellermanntyton.us/products/151-01641/,30 °,13.7 mm,6.2 mm,113.5 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",6.5 mm
